date,number_of_checks-no_verification,os-se,count-nombre
2021-05-09,13-30,android,10
2021-05-09,13-30,ios,9
2021-05-09,30+,android,4
2021-05-09,30+,ios,0
2021-05-16,0,android,0
2021-05-16,0,ios,0
2021-05-16,1-6,android,12
2021-05-16,1-6,ios,28
2021-05-16,7-12,android,9
2021-05-16,7-12,ios,47
2021-05-16,13-30,android,7
2021-05-16,13-30,ios,6
2021-05-16,30+,android,3
2021-05-16,30+,ios,0
2021-05-23,0,android,0
2021-05-23,0,ios,0
2021-05-23,1-6,android,5
2021-05-23,1-6,ios,13
2021-05-23,7-12,android,2
2021-05-23,7-12,ios,20
2021-05-23,13-30,android,3
2021-05-23,13-30,ios,1
2021-05-23,30+,android,0
2021-05-23,30+,ios,0
2021-05-30,0,android,0
2021-05-30,0,ios,0
2021-05-30,1-6,android,4
2021-05-30,1-6,ios,6
2021-05-30,7-12,android,2
2021-05-30,7-12,ios,20
2021-05-30,13-30,android,3
2021-05-30,13-30,ios,7
2021-05-30,30+,android,1
2021-05-30,30+,ios,0
2021-06-06,0,android,0
2021-06-06,0,ios,0
2021-06-06,1-6,android,1
2021-06-06,1-6,ios,0
2021-06-06,7-12,android,4
2021-06-06,7-12,ios,9
2021-06-06,13-30,android,1
2021-06-06,13-30,ios,4
2021-06-06,30+,android,1
2021-06-06,30+,ios,0
2021-06-13,0,android,0
2021-06-13,0,ios,0
2021-06-13,1-6,android,0
2021-06-13,1-6,ios,8
2021-06-13,7-12,android,3
2021-06-13,7-12,ios,6
2021-06-13,13-30,android,1
2021-06-13,13-30,ios,0
2021-06-13,30+,android,3
2021-06-13,30+,ios,0
2021-06-20,0,android,0
2021-06-20,0,ios,0
2021-06-20,1-6,android,0
2021-06-20,1-6,ios,16
2021-06-20,7-12,android,0
2021-06-20,7-12,ios,20
2021-06-20,13-30,android,0
2021-06-20,13-30,ios,0
2021-06-20,30+,android,0
2021-06-20,30+,ios,0
2021-06-27,0,android,0
2021-06-27,0,ios,0
2021-06-27,1-6,android,5
2021-06-27,1-6,ios,15
2021-06-27,7-12,android,6
2021-06-27,7-12,ios,25
2021-06-27,13-30,android,6
2021-06-27,13-30,ios,0
2021-06-27,30+,android,8
2021-06-27,30+,ios,0
2021-07-04,0,android,0
2021-07-04,0,ios,0
2021-07-04,1-6,android,11
2021-07-04,1-6,ios,22
2021-07-04,7-12,android,3
2021-07-04,7-12,ios,35
2021-07-04,13-30,android,9
2021-07-04,13-30,ios,0
2021-07-04,30+,android,3
2021-07-04,30+,ios,0
2021-07-11,0,android,0
2021-07-11,0,ios,0
2021-07-11,1-6,android,12
2021-07-11,1-6,ios,23
2021-07-11,7-12,android,3
2021-07-11,7-12,ios,47
2021-07-11,13-30,android,5
2021-07-11,13-30,ios,0
2021-07-11,30+,android,2
2021-07-11,30+,ios,0
2021-07-18,0,android,0
2021-07-18,0,ios,0
2021-07-18,1-6,android,6
2021-07-18,1-6,ios,12
2021-07-18,7-12,android,1
2021-07-18,7-12,ios,45
2021-07-18,13-30,android,1
2021-07-18,13-30,ios,0
2021-07-18,30+,android,0
2021-07-18,30+,ios,0
2021-07-25,0,android,0
