date,region,os-se,count-nombre
2021-05-09,NU,android,0
2021-05-09,NU,ios,0
2021-05-09,ON,android,1
2021-05-09,ON,ios,0
2021-05-09,PE,android,0
2021-05-09,PE,ios,0
2021-05-09,QC,android,0
2021-05-09,QC,ios,0
2021-05-09,SK,android,0
2021-05-09,SK,ios,0
2021-05-09,YT,android,0
2021-05-09,YT,ios,0
2021-05-09,npts-ptso,android,1
2021-05-09,npts-ptso,ios,0
2021-05-16,AB,android,0
2021-05-16,AB,ios,0
2021-05-16,BC,android,0
2021-05-16,BC,ios,0
2021-05-16,MB,android,0
2021-05-16,MB,ios,0
2021-05-16,NB,android,0
2021-05-16,NB,ios,0
2021-05-16,NL,android,0
2021-05-16,NL,ios,0
2021-05-16,NT,android,0
2021-05-16,NT,ios,0
2021-05-16,NS,android,0
2021-05-16,NS,ios,0
2021-05-16,NU,android,0
2021-05-16,NU,ios,0
2021-05-16,ON,android,2
2021-05-16,ON,ios,1
2021-05-16,PE,android,0
2021-05-16,PE,ios,0
2021-05-16,QC,android,0
2021-05-16,QC,ios,1
2021-05-16,SK,android,0
2021-05-16,SK,ios,0
2021-05-16,YT,android,0
2021-05-16,YT,ios,0
2021-05-16,npts-ptso,android,0
2021-05-16,npts-ptso,ios,0
2021-05-23,AB,android,0
2021-05-23,AB,ios,0
2021-05-23,BC,android,0
2021-05-23,BC,ios,0
2021-05-23,MB,android,0
2021-05-23,MB,ios,0
2021-05-23,NB,android,0
2021-05-23,NB,ios,0
2021-05-23,NL,android,0
2021-05-23,NL,ios,0
2021-05-23,NT,android,0
2021-05-23,NT,ios,0
2021-05-23,NS,android,0
2021-05-23,NS,ios,0
2021-05-23,NU,android,0
2021-05-23,NU,ios,0
2021-05-23,ON,android,2
2021-05-23,ON,ios,0
2021-05-23,PE,android,0
