date,number_of_checks-no_verification,os-se,app_version-version_appli,count-nombre
2021-06-06,1-6,android,1.2.8,1
2021-06-06,13-30,android,1.2.8,1
2021-06-06,13-30,ios,1.2.10,4
2021-06-06,30+,android,1.2.8,1
2021-06-06,7-12,android,1.2.8,4
2021-06-06,7-12,ios,1.2.8,4
2021-06-06,7-12,ios,2.0.0,12
2021-06-13,1-6,ios,1.1.8,1
2021-06-13,1-6,ios,2.0.0,7
2021-06-13,13-30,android,1.2.8,1
2021-06-13,30+,android,1.2.8,3
2021-06-13,7-12,android,1.2.8,3
2021-06-13,7-12,ios,1.1.8,2
2021-06-13,7-12,ios,2.0.0,11
2021-06-20,1-6,android,1.5.3,6
2021-06-20,1-6,ios,1.1.8,7
2021-06-20,1-6,ios,1.2.10,1
2021-06-20,1-6,ios,2.0.0,8
2021-06-20,13-30,android,1.5.3,3
2021-06-20,7-12,android,1.5.3,9
2021-06-20,7-12,ios,1.1.8,12
2021-06-20,7-12,ios,1.2.10,2
2021-06-20,7-12,ios,2.0.0,13
2021-06-27,1-6,android,1.5.3,15
2021-06-27,1-6,android,2.0.0,5
2021-06-27,1-6,ios,1.1.8,2
2021-06-27,1-6,ios,2.0.0,13
2021-06-27,13-30,android,2.0.0,6
2021-06-27,30+,android,1.2.8,2
2021-06-27,30+,android,2.0.0,6
2021-06-27,7-12,android,1.2.8,2
2021-06-27,7-12,android,1.5.3,6
2021-06-27,7-12,android,2.0.0,4
2021-06-27,7-12,ios,2.0.0,29
2021-07-04,1-6,android,1.5.3,9
2021-07-04,1-6,android,2.0.0,11
2021-07-04,1-6,ios,2.0.0,23
2021-07-04,13-30,android,1.2.8,1
2021-07-04,13-30,android,2.0.0,8
2021-07-04,30+,android,2.0.0,3
2021-07-04,7-12,android,1.2.8,1
2021-07-04,7-12,android,1.5.3,12
2021-07-04,7-12,android,2.0.0,2
2021-07-04,7-12,ios,2.0.0,40
2021-07-11,1-6,android,1.2.8,2
2021-07-11,1-6,android,1.5.3,6
2021-07-11,1-6,android,2.0.0,10
2021-07-11,1-6,ios,2.0.0,23
2021-07-11,13-30,android,1.2.8,2
2021-07-11,13-30,android,2.0.0,3
2021-07-11,30+,android,1.2.8,1
2021-07-11,30+,android,2.0.0,1
2021-07-11,7-12,android,1.2.8,2
2021-07-11,7-12,android,1.5.3,12
2021-07-11,7-12,android,2.0.0,1
2021-07-11,7-12,ios,2.0.0,54
2021-07-18,1-6,android,1.2.8,1
2021-07-18,1-6,android,1.5.3,12
2021-07-18,1-6,android,2.0.0,5
2021-07-18,1-6,ios,2.0.0,13
2021-07-18,13-30,android,2.0.0,1
2021-07-18,7-12,android,1.5.3,9
2021-07-18,7-12,android,2.0.0,1
2021-07-18,7-12,ios,2.0.0,51
2021-07-25,1-6,android,1.5.3,9
2021-07-25,1-6,ios,2.0.0,12
2021-07-25,7-12,android,1.5.3,12
2021-07-25,7-12,ios,2.0.0,39
2021-08-01,1-6,android,1.2.8,3
2021-08-01,1-6,android,1.5.3,6
2021-08-01,1-6,android,2.0.0,1
2021-08-01,1-6,ios,2.0.0,17
2021-08-01,13-30,android,1.2.8,1
2021-08-01,13-30,android,2.0.0,1
2021-08-01,7-12,android,1.2.8,2
2021-08-01,7-12,android,1.5.3,15
2021-08-01,7-12,android,2.0.0,1
2021-08-01,7-12,ios,2.0.0,30
2021-08-08,1-6,android,1.2.8,3
2021-08-08,1-6,android,1.5.3,12
2021-08-08,1-6,android,2.0.0,1
2021-08-08,1-6,ios,1.5.1,2
2021-08-08,1-6,ios,2.0.0,9
2021-08-08,13-30,android,1.2.8,1
2021-08-08,30+,android,1.2.8,1
2021-08-08,7-12,android,1.2.8,1
2021-08-08,7-12,android,1.5.1,1
2021-08-08,7-12,android,1.5.3,9
2021-08-08,7-12,android,2.0.0,1
2021-08-08,7-12,ios,2.0.0,20
2021-08-15,1-6,android,1.5.3,34
2021-08-15,1-6,ios,1.5.1,2
2021-08-15,1-6,ios,1.5.3,10
2021-08-15,1-6,ios,2.0.0,21
2021-08-15,13-30,android,1.5.3,3
2021-08-15,30+,android,1.5.3,3
2021-08-15,7-12,android,1.5.3,9
2021-08-15,7-12,ios,1.5.3,12
2021-08-15,7-12,ios,2.0.0,17
2021-08-22,1-6,android,1.5.3,24
2021-08-22,1-6,ios,1.5.3,4
2021-08-22,1-6,ios,2.0.0,15
2021-08-22,13-30,android,1.5.3,1
2021-08-22,13-30,ios,2.0.0,1
2021-08-22,7-12,android,1.5.3,9
2021-08-22,7-12,ios,1.5.3,10
2021-08-22,7-12,ios,2.0.0,22
2021-08-29,1-6,android,1.5.3,23
2021-08-29,1-6,ios,1.5.3,11
2021-08-29,1-6,ios,2.0.0,7
2021-08-29,13-30,ios,2.0.0,2
2021-08-29,7-12,android,1.5.3,3
2021-08-29,7-12,ios,1.5.3,19
2021-08-29,7-12,ios,2.0.0,25
2021-09-05,1-6,android,1.5.3,9
2021-09-05,1-6,ios,1.5.3,4
2021-09-05,1-6,ios,2.0.0,10
2021-09-05,7-12,android,1.5.3,9
2021-09-05,7-12,ios,1.5.3,18
2021-09-05,7-12,ios,2.0.0,33
2021-09-12,1-6,android,1.5.3,17
2021-09-12,1-6,ios,1.5.3,1
2021-09-12,1-6,ios,2.0.0,12
2021-09-12,7-12,android,1.5.3,9
2021-09-12,7-12,ios,1.5.3,5
2021-09-12,7-12,ios,2.0.0,16
2021-09-19,1-6,android,1.5.3,24
2021-09-19,1-6,ios,1.5.3,4
2021-09-19,1-6,ios,2.0.0,10
2021-09-19,13-30,android,1.5.3,3
2021-09-19,30+,android,1.5.3,1
2021-09-19,7-12,android,1.5.3,18
2021-09-19,7-12,ios,1.5.3,8
2021-09-19,7-12,ios,2.0.0,22
2021-09-26,1-6,android,1.5.3,21
2021-09-26,1-6,ios,1.5.3,4
2021-09-26,1-6,ios,2.0.0,10
2021-09-26,13-30,android,1.1.1,1
2021-09-26,13-30,android,1.5.3,1
2021-09-26,30+,android,1.5.3,2
2021-09-26,7-12,android,1.1.1,1
2021-09-26,7-12,android,1.5.3,15
2021-09-26,7-12,ios,1.5.3,5
2021-09-26,7-12,ios,2.0.0,16
2021-10-03,1-6,android,1.1.1,3
2021-10-03,1-6,android,1.5.3,19
2021-10-03,1-6,ios,1.5.3,8
2021-10-03,1-6,ios,2.0.0,13
2021-10-03,30+,android,1.5.3,1
2021-10-03,7-12,android,1.1.1,2
2021-10-03,7-12,ios,1.5.3,8
2021-10-03,7-12,ios,2.0.0,14
2021-10-10,1-6,ios,2.0.0,10
2021-10-10,13-30,android,1.1.1,3
2021-10-10,30+,android,1.1.1,2
2021-10-10,7-12,android,1.1.1,1
2021-10-10,7-12,ios,1.5.3,2
2021-10-10,7-12,ios,2.0.0,11
2021-10-17,1-6,android,1.5.3,3
2021-10-17,1-6,ios,1.5.3,3
2021-10-17,1-6,ios,2.0.0,8
2021-10-17,7-12,android,1.5.3,2
2021-10-17,7-12,ios,1.5.3,2
2021-10-17,7-12,ios,2.0.0,8
2021-10-24,1-6,android,1.5.3,6
2021-10-24,1-6,ios,1.5.3,2
2021-10-24,1-6,ios,2.0.0,5
2021-10-24,7-12,android,1.5.3,1
2021-10-24,7-12,ios,1.5.3,5
2021-10-24,7-12,ios,2.0.0,9
2021-10-31,1-6,android,1.5.3,10
2021-10-31,1-6,ios,1.5.3,7
2021-10-31,1-6,ios,2.0.0,4
2021-10-31,13-30,android,1.5.3,2
2021-10-31,30+,android,1.5.3,4
2021-10-31,7-12,ios,1.5.3,7
2021-10-31,7-12,ios,2.0.0,9
2021-11-07,1-6,android,1.5.3,15
2021-11-07,1-6,ios,1.5.3,1
2021-11-07,13-30,android,1.5.3,1
2021-11-07,30+,android,1.5.3,4
2021-11-07,7-12,android,1.5.3,1
2021-11-07,7-12,ios,1.5.3,8
2021-11-07,7-12,ios,2.0.0,7
2021-11-14,1-6,android,1.5.3,2
2021-11-14,1-6,ios,1.5.3,2
2021-11-14,7-12,android,1.5.3,2
2021-11-14,7-12,ios,1.5.3,10
2021-11-14,7-12,ios,2.0.0,6
2021-11-21,1-6,ios,1.5.3,2
2021-11-21,7-12,ios,1.5.3,11
2021-11-28,7-12,ios,1.5.3,7
2021-12-05,1-6,android,1.5.3,6
2021-12-05,7-12,ios,1.5.3,7
2021-12-12,1-6,android,1.5.3,6
2021-12-12,7-12,android,1.5.3,1
2021-12-12,7-12,ios,1.5.3,7
