date,framework_status-etat_cadre,notification_permission-permission_notif,count-nombre
2021-03-24,enabled-active,denied-refuse,0
2021-03-24,disabled-desactive,blocked-bloque,0
2021-03-24,disabled-desactive,granted-autorise,1
2021-03-24,disabled-desactive,denied-refuse,0
2021-03-25,enabled-active,blocked-bloque,0
2021-03-25,enabled-active,granted-autorise,7
2021-03-25,enabled-active,denied-refuse,0
2021-03-25,disabled-desactive,blocked-bloque,0
2021-03-25,disabled-desactive,granted-autorise,0
2021-03-25,disabled-desactive,denied-refuse,0
2021-03-26,enabled-active,blocked-bloque,0
2021-03-26,enabled-active,granted-autorise,1
2021-03-26,enabled-active,denied-refuse,0
2021-03-26,disabled-desactive,blocked-bloque,0
2021-03-26,disabled-desactive,granted-autorise,0
2021-03-26,disabled-desactive,denied-refuse,0
2021-03-27,enabled-active,blocked-bloque,0
2021-03-27,enabled-active,granted-autorise,0
2021-03-27,enabled-active,denied-refuse,0
2021-03-27,disabled-desactive,blocked-bloque,0
2021-03-27,disabled-desactive,granted-autorise,0
2021-03-27,disabled-desactive,denied-refuse,0
2021-03-28,enabled-active,blocked-bloque,0
2021-03-28,enabled-active,granted-autorise,0
2021-03-28,enabled-active,denied-refuse,0
2021-03-28,disabled-desactive,blocked-bloque,0
2021-03-28,disabled-desactive,granted-autorise,0
2021-03-28,disabled-desactive,denied-refuse,0
2021-03-29,enabled-active,blocked-bloque,0
2021-03-29,enabled-active,granted-autorise,2
2021-03-29,enabled-active,denied-refuse,0
2021-03-29,disabled-desactive,blocked-bloque,0
2021-03-29,disabled-desactive,granted-autorise,0
2021-03-29,disabled-desactive,denied-refuse,0
2021-03-30,enabled-active,blocked-bloque,0
2021-03-30,enabled-active,granted-autorise,0
2021-03-30,enabled-active,denied-refuse,0
2021-03-30,disabled-desactive,blocked-bloque,0
2021-03-30,disabled-desactive,granted-autorise,0
2021-03-30,disabled-desactive,denied-refuse,0
2021-03-31,enabled-active,blocked-bloque,0
2021-03-31,enabled-active,granted-autorise,6
2021-03-31,enabled-active,denied-refuse,0
2021-03-31,disabled-desactive,blocked-bloque,0
2021-03-31,disabled-desactive,granted-autorise,0
2021-03-31,disabled-desactive,denied-refuse,0
2021-04-01,enabled-active,blocked-bloque,0
2021-04-01,enabled-active,granted-autorise,0
2021-04-01,enabled-active,denied-refuse,0
2021-04-01,disabled-desactive,blocked-bloque,0
2021-04-01,disabled-desactive,granted-autorise,0
2021-04-01,disabled-desactive,denied-refuse,0
2021-04-02,enabled-active,blocked-bloque,0
2021-04-02,enabled-active,granted-autorise,1
2021-04-02,enabled-active,denied-refuse,0
2021-04-02,disabled-desactive,blocked-bloque,0
2021-04-02,disabled-desactive,granted-autorise,0
2021-04-02,disabled-desactive,denied-refuse,0
2021-04-03,enabled-active,blocked-bloque,0
2021-04-03,enabled-active,granted-autorise,0
2021-04-03,enabled-active,denied-refuse,0
2021-04-03,disabled-desactive,blocked-bloque,0
2021-04-03,disabled-desactive,granted-autorise,0
2021-04-03,disabled-desactive,denied-refuse,0
2021-04-04,enabled-active,blocked-bloque,0
2021-04-04,enabled-active,granted-autorise,0
2021-04-04,enabled-active,denied-refuse,0
2021-04-04,disabled-desactive,blocked-bloque,0
2021-04-04,disabled-desactive,granted-autorise,0
2021-04-04,disabled-desactive,denied-refuse,0
2021-04-05,enabled-active,blocked-bloque,0
2021-04-05,enabled-active,granted-autorise,0
2021-04-05,enabled-active,denied-refuse,0
2021-04-05,disabled-desactive,blocked-bloque,0
2021-04-05,disabled-desactive,granted-autorise,0
2021-04-05,disabled-desactive,denied-refuse,0
2021-04-06,enabled-active,blocked-bloque,0
2021-04-06,enabled-active,granted-autorise,2
2021-04-06,enabled-active,denied-refuse,0
2021-04-06,disabled-desactive,blocked-bloque,0
2021-04-06,disabled-desactive,granted-autorise,1
2021-04-06,disabled-desactive,denied-refuse,0
2021-04-07,enabled-active,blocked-bloque,0
2021-04-07,enabled-active,granted-autorise,0
2021-04-07,enabled-active,denied-refuse,0
2021-04-07,disabled-desactive,blocked-bloque,0
2021-04-07,disabled-desactive,granted-autorise,0
2021-04-07,disabled-desactive,denied-refuse,0
2021-04-08,enabled-active,blocked-bloque,0
2021-04-08,enabled-active,granted-autorise,1
2021-04-08,enabled-active,denied-refuse,0
2021-04-08,disabled-desactive,blocked-bloque,0
2021-04-08,disabled-desactive,granted-autorise,0
2021-04-08,disabled-desactive,denied-refuse,0
2021-04-09,enabled-active,blocked-bloque,0
2021-04-09,enabled-active,granted-autorise,2
2021-04-09,enabled-active,denied-refuse,0
2021-04-09,disabled-desactive,blocked-bloque,0
2021-04-09,disabled-desactive,granted-autorise,2
2021-04-09,disabled-desactive,denied-refuse,0
2021-04-10,enabled-active,blocked-bloque,0
2021-04-10,enabled-active,granted-autorise,0
2021-04-10,enabled-active,denied-refuse,0
2021-04-10,disabled-desactive,blocked-bloque,0
2021-04-10,disabled-desactive,granted-autorise,0
2021-04-10,disabled-desactive,denied-refuse,0
2021-04-11,enabled-active,blocked-bloque,0
2021-04-11,enabled-active,granted-autorise,0
2021-04-11,enabled-active,denied-refuse,0
2021-04-11,disabled-desactive,blocked-bloque,0
2021-04-11,disabled-desactive,granted-autorise,0
2021-04-11,disabled-desactive,denied-refuse,0
2021-04-12,enabled-active,blocked-bloque,0
2021-04-12,enabled-active,granted-autorise,0
2021-04-12,enabled-active,denied-refuse,0
2021-04-12,disabled-desactive,blocked-bloque,0
2021-04-12,disabled-desactive,granted-autorise,0
2021-04-12,disabled-desactive,denied-refuse,0
2021-04-13,enabled-active,blocked-bloque,0
2021-04-13,enabled-active,granted-autorise,0
2021-04-13,enabled-active,denied-refuse,0
2021-04-13,disabled-desactive,blocked-bloque,0
2021-04-13,disabled-desactive,granted-autorise,0
2021-04-13,disabled-desactive,denied-refuse,0
2021-04-14,enabled-active,blocked-bloque,0
2021-04-14,enabled-active,granted-autorise,1
